MRNA,PFE,JNJ,GOOGL,MSFT,AAPL,COST,WMT,KR,JPM,BAC,HSBC
15.329999923706055,41.034156799316406,127.75,52.73400115966797,101.12000274658203,39.47999954223633,204.75999450683594,31.113332748413086,27.299999237060547,99.30999755859375,24.959999084472656,40.880001068115234
15.5,39.886146545410156,125.72000122070312,51.27349853515625,97.4000015258789,35.54750061035156,200.4199981689453,30.953332901000977,27.350000381469727,97.11000061035156,24.559999465942383,40.43000030517578
16.959999084472656,40.79696273803711,127.83000183105469,53.903499603271484,101.93000030517578,37.064998626708984,206.24000549316406,31.14666748046875,27.65999984741211,100.69000244140625,25.579999923706055,41.61000061035156
16.270000457763672,41.01517868041992,127.01000213623047,53.79600143432617,102.05999755859375,36.98249816894531,207.0,31.51333236694336,27.920000076293945,100.76000213623047,25.559999465942383,41.04999923706055
16.950000762939453,41.204933166503906,129.9600067138672,54.26850128173828,102.80000305175781,37.6875,208.5500030517578,31.733333587646484,28.459999084472656,100.56999969482422,25.510000228881836,41.15999984741211
16.329999923706055,41.119544982910156,128.92999267578125,54.08250045776367,104.2699966430664,38.32749938964844,209.89999389648438,31.6299991607666,28.049999237060547,100.4000015258789,25.760000228881836,41.439998626708984
16.479999542236328,40.14231491088867,129.7100067138672,53.94150161743164,103.5999984741211,38.45000076293945,210.63999938964844,31.65333366394043,28.479999542236328,100.38999938964844,25.729999542236328,41.529998779296875
17.0,40.68311309814453,129.75,53.2234992980957,102.80000305175781,38.0724983215332,210.50999450683594,31.613332748413086,28.43000030517578,99.91000366210938,26.030000686645508,41.41999816894531
16.739999771118164,40.199241638183594,128.27999877929688,52.57550048828125,102.05000305175781,37.5,209.0,31.649999618530273,28.299999237060547,100.94000244140625,26.3700008392334,40.97999954223633
16.59000015258789,40.54079818725586,129.36000061035156,54.32550048828125,105.01000213623047,38.26750183105469,211.02999877929688,32.08333206176758,28.6200008392334,101.68000030517578,26.549999237060547,41.220001220703125
16.260000228881836,39.95256042480469,128.0399932861328,54.47549819946289,105.37999725341797,38.73500061035156,210.17999267578125,32.116668701171875,28.700000762939453,102.5,28.450000762939453,41.540000915527344
16.309999465942383,40.29411697387695,129.08999633789062,54.95600128173828,106.12000274658203,38.96500015258789,211.4600067138672,32.246665954589844,28.93000030517578,102.91999816894531,28.989999771118164,41.4900016784668
16.690000534057617,40.351043701171875,130.69000244140625,55.3650016784668,107.70999908447266,39.20500183105469,213.58999633789062,32.57666778564453,29.43000030517578,104.58999633789062,29.299999237060547,41.91999816894531
15.5600004196167,40.10436248779297,128.8000030517578,53.93149948120117,105.68000030517578,38.32500076293945,212.39999389648438,32.496665954589844,29.31999969482422,102.94000244140625,29.09000015258789,41.380001068115234
14.789999961853027,40.0,128.8000030517578,54.22050094604492,106.70999908447266,38.47999954223633,212.08999633789062,32.9033317565918,29.239999771118164,102.68000030517578,28.920000076293945,41.63999938964844
14.640000343322754,38.851993560791016,127.02999877929688,54.20000076293945,106.19999694824219,38.17499923706055,210.30999755859375,32.78666687011719,28.709999084472656,102.73999786376953,29.079999923706055,41.40999984741211
14.90999984741211,38.55787658691406,128.22999572753906,55.07550048828125,107.16999816894531,39.439998626708984,209.07000732421875,32.313331604003906,28.1200008392334,103.38999938964844,29.579999923706055,41.86000061035156
14.449999809265137,37.50474548339844,128.99000549316406,53.99300003051758,105.08000183105469,39.07500076293945,210.77000427246094,32.35333251953125,28.219999313354492,103.87999725341797,29.6299991607666,41.619998931884766
14.630000114440918,38.68121337890625,130.3300018310547,53.50299835205078,102.94000244140625,38.66999816894531,210.30999755859375,32.23666763305664,28.079999923706055,104.16999816894531,29.389999389648438,42.08000183105469
15.130000114440918,39.44971466064453,131.63999938964844,54.89950180053711,106.37999725341797,41.3125,211.35000610351562,31.600000381469727,28.260000228881836,104.41000366210938,29.06999969482422,42.47999954223633
