iter	Passed	Remaining
421	2320	4277
422	2325	4272
423	2331	4266
424	2336	4260
425	2341	4255
426	2346	4248
427	2351	4242
428	2358	4238
429	2366	4237
430	2372	4233
431	2378	4228
432	2384	4224
433	2390	4218
434	2395	4212
435	2400	4207
436	2406	4201
437	2411	4195
438	2416	4188
439	2421	4182
440	2426	4176
441	2432	4170
442	2436	4164
443	2441	4157
444	2446	4150
445	2451	4144
446	2456	4137
447	2461	4131
448	2466	4124
449	2471	4118
450	2476	4113
451	2482	4107
452	2487	4101
453	2491	4094
454	2496	4088
455	2502	4082
456	2507	4076
457	2513	4071
458	2518	4065
459	2524	4060
460	2529	4055
461	2534	4048
462	2539	4043
463	2545	4038
464	2550	4032
465	2556	4027
466	2562	4021
467	2567	4015
468	2572	4008
469	2577	4002
470	2582	3997
471	2589	3994
472	2596	3990
473	2602	3986
474	2608	3980
475	2614	3977
476	2620	3972
477	2625	3966
478	2630	3959
479	2635	3953
480	2641	3948
481	2647	3943
482	2652	3937
483	2657	3931
484	2662	3925
485	2668	3919
486	2672	3913
487	2677	3907
488	2682	3900
489	2687	3894
490	2692	3888
491	2697	3881
492	2702	3875
493	2707	3869
494	2712	3863
495	2717	3857
496	2722	3851
497	2727	3845
498	2732	3839
499	2738	3833
500	2743	3827
501	2748	3821
502	2753	3815
503	2758	3809
504	2763	3802
505	2768	3797
506	2773	3791
507	2778	3785
508	2783	3778
509	2788	3772
510	2793	3766
511	2798	3759
512	2803	3754
513	2808	3748
514	2813	3742
515	2819	3736
516	2823	3730
517	2828	3724
518	2834	3718
519	2839	3712
520	2844	3706
521	2849	3701
522	2854	3694
523	2859	3688
524	2864	3682
525	2869	3676
526	2874	3670
527	2879	3665
528	2884	3658
529	2889	3653
530	2894	3647
531	2899	3641
532	2904	3634
533	2909	3629
534	2914	3622
535	2920	3617
536	2925	3611
537	2930	3605
538	2935	3599
539	2940	3593
540	2945	3588
541	2950	3582
542	2955	3576
543	2960	3570
544	2965	3564
545	2971	3558
546	2976	3552
547	2980	3546
548	2985	3540
549	2990	3534
550	2995	3528
551	3000	3522
552	3005	3516
553	3010	3510
554	3015	3504
555	3020	3499
556	3026	3493
557	3031	3488
558	3036	3481
559	3041	3476
560	3046	3469
561	3051	3464
562	3056	3458
563	3061	3452
564	3066	3446
565	3071	3440
566	3076	3434
567	3081	3428
568	3086	3422
569	3090	3416
570	3095	3410
571	3101	3404
572	3106	3398
573	3111	3392
574	3116	3387
575	3121	3382
576	3127	3377
577	3132	3371
578	3137	3365
579	3143	3359
580	3148	3354
581	3153	3348
582	3158	3343
583	3164	3338
584	3170	3333
585	3179	3331
586	3184	3325
587	3191	3322
588	3197	3317
589	3203	3312
590	3209	3307
591	3216	3303
592	3222	3298
593	3228	3293
594	3233	3287
595	3239	3282
596	3245	3278
597	3250	3272
598	3255	3266
599	3261	3261
600	3266	3255
601	3272	3250
602	3277	3245
603	3295	3251
604	3316	3261
605	3323	3257
606	3329	3252
607	3335	3248
608	3341	3243
609	3347	3238
610	3353	3233
611	3359	3227
612	3364	3221
613	3369	3215
614	3374	3210
615	3380	3205
616	3385	3199
617	3390	3192
618	3395	3186
619	3400	3180
620	3405	3174
621	3410	3168
622	3415	3162
623	3420	3157
624	3425	3151
625	3431	3146
626	3437	3141
627	3442	3135
628	3447	3129
629	3453	3124
630	3459	3119
631	3464	3113
632	3468	3107
633	3474	3101
634	3478	3095
635	3484	3089
636	3489	3083
637	3493	3077
638	3498	3071
639	3503	3065
640	3508	3059
641	3513	3053
642	3518	3047
643	3523	3041
644	3528	3036
645	3533	3030
646	3538	3024
647	3543	3018
648	3548	3012
649	3553	3006
650	3558	3000
651	3563	2995
652	3568	2989
653	3573	2983
654	3577	2976
655	3583	2971
656	3588	2965
657	3593	2960
658	3598	2953
659	3603	2948
660	3608	2942
661	3613	2936
662	3617	2930
663	3622	2924
664	3627	2917
665	3631	2912
666	3636	2906
667	3641	2900
668	3646	2894
669	3650	2888
670	3656	2882
671	3660	2876
672	3665	2870
673	3670	2864
674	3675	2858
675	3680	2852
676	3685	2846
677	3689	2840
678	3694	2834
679	3699	2829
680	3704	2823
681	3709	2817
682	3713	2811
683	3718	2805
684	3723	2799
685	3728	2793
686	3733	2787
687	3737	2781
688	3743	2776
689	3747	2770
690	3752	2764
691	3757	2758
692	3762	2752
693	3766	2746
694	3771	2740
695	3776	2735
696	3781	2729
697	3786	2723
698	3791	2717
699	3796	2711
700	3801	2705
701	3806	2700
702	3811	2694
703	3815	2688
704	3820	2682
705	3825	2677
706	3830	2671
707	3835	2665
708	3840	2659
709	3844	2653
710	3850	2647
711	3854	2641
712	3859	2636
713	3864	2630
714	3870	2625
715	3875	2619
716	3880	2614
717	3885	2608
718	3890	2602
719	3895	2596
720	3900	2591
721	3905	2585
722	3910	2580
723	3915	2574
724	3920	2568
725	3925	2562
726	3930	2557
727	3935	2551
728	3940	2545
729	3944	2539
730	3950	2534
731	3955	2528
732	3960	2523
733	3965	2517
734	3970	2511
735	3975	2506
736	3980	2500
737	3985	2495
738	3990	2489
739	3995	2483
740	4000	2478
741	4005	2472
742	4010	2466
743	4015	2461
744	4020	2455
745	4026	2450
746	4031	2444
747	4036	2439
748	4041	2433
749	4046	2427
750	4051	2422
751	4056	2416
752	4061	2410
753	4066	2405
754	4070	2399
755	4075	2393
756	4080	2388
757	4085	2382
758	4090	2376
759	4095	2371
760	4100	2365
761	4105	2359
762	4110	2354
763	4115	2348
764	4120	2343
765	4125	2337
